Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP5_A00_neg m/z,ORP5_A00_neg RT mean,ORP5_A00_neg Normalized Area,ORP5_A08_neg m/z,ORP5_A08_neg RT mean,ORP5_A08_neg Normalized Area,ORP5_A09_neg m/z,ORP5_A09_neg RT mean,ORP5_A09_neg Normalized Area,ORP5_A10_neg m/z,ORP5_A10_neg RT mean,ORP5_A10_neg Normalized Area,ORP5_A11_neg m/z,ORP5_A11_neg RT mean,ORP5_A11_neg Normalized Area,ORP5_A04_neg m/z,ORP5_A04_neg RT mean,ORP5_A04_neg Normalized Area,ORP5_A05_neg m/z,ORP5_A05_neg RT mean,ORP5_A05_neg Normalized Area,ORP5_A06_neg m/z,ORP5_A06_neg RT mean,ORP5_A06_neg Normalized Area,ORP5_A07_neg m/z,ORP5_A07_neg RT mean,ORP5_A07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.82,3.26,444.0881,2.73 - 4.14,1,4.9E4,444.0883,3.79,1E5,444.0881,3.79,3.02E4,444.0882,3.80,4.6E4,444.0883,3.80,3.77E4,444.0881,3.80,3.94E4,444.0883,3.80,4.25E4,444.0876,3.80,7.31E4,444.0882,3.81,4.63E4,444.0881,3.82,2.62E4,3.32:1.00:1.52:1.25:1.31:1.41:2.42:1.53:0.87,5.08E4,4.7E4,1.00:0.93,3.80,,
,0.82,5.32,482.1667,3.07 - 4.02,1,5.3E4,482.1671,3.85,2.91E4,482.1671,3.86,2.94E4,482.1664,3.85,7.49E4,482.1672,3.86,9.25E3,482.1664,3.85,5.43E4,482.1666,3.85,3.26E4,482.1664,3.86,2.79E4,482.1664,3.86,8.78E4,482.1670,3.86,1.3E5,0.99:1.00:2.55:0.31:1.84:1.11:0.95:2.98:4.43,3.94E4,6.97E4,1.00:1.77,3.86,,
,0.82,5.73,379.2289,3.59 - 4.21,1,2.3E4,379.2288,4.06,1.87E4,379.2289,4.07,1.34E4,379.2287,4.06,2.07E4,379.2289,4.07,1.91E4,379.2288,4.06,1.01E4,379.2291,4.08,8.8E3,379.2289,4.07,6.56E4,379.2290,4.07,2.34E4,379.2290,4.07,2.73E4,1.39:1.00:1.54:1.42:0.75:0.65:4.88:1.74:2.03,1.64E4,3.13E4,1.00:1.91,4.07,,
,0.82,3.18,336.8594,20.25 - 20.57,1,5.6E4,336.8593,20.29,4.06E4,336.8593,20.27,3.43E4,336.8599,20.29,6.32E4,336.8595,20.31,5.42E4,336.8593,20.28,8.28E4,336.8594,20.30,5.68E4,336.8593,20.30,5.65E4,336.8592,20.28,5.97E4,336.8600,20.28,5.83E4,1.18:1.00:1.84:1.58:2.41:1.66:1.65:1.74:1.70,5.5E4,5.79E4,1.00:1.05,20.29,,
,0.82,5.46,676.5086,0.10 - 0.21,1,2.9E5,-,-,0,676.5094,0.15,5.4E5,676.5082,0.16,8.87E5,676.5085,0.16,2.39E5,676.5093,0.16,1.66E5,-,-,0,676.5083,0.15,4.12E5,676.5077,0.15,4E5,-,-,0,0:1.00:1.64:0.44:0.31:0:0.76:0.74:0,3.66E5,2.03E5,1.00:0.55,0.16,,
,0.82,5.83,520.1403,2.91 - 3.98,1,5.9E4,520.1404,3.58,2.04E4,520.1404,3.86,3.4E4,520.1401,3.85,9.3E4,520.1404,3.86,9.29E3,520.1401,3.86,5.16E4,520.1402,3.87,3.65E4,520.1403,3.86,3.05E4,520.1403,3.86,1.04E5,520.1401,3.86,1.5E5,0.60:1.00:2.74:0.27:1.52:1.07:0.90:3.06:4.41,4.17E4,8.03E4,1.00:1.93,3.83,,
,0.81,3.21,383.1898,3.83 - 4.80,1,3.2E4,383.1900,4.54,4.04E4,383.1898,4.55,2.04E4,383.1899,4.56,3.69E4,383.1902,4.55,2.78E4,383.1891,4.53,2.96E4,383.1897,4.54,3.06E4,383.1897,4.54,5.54E4,383.1900,4.54,2.31E4,383.1901,4.55,2.23E4,1.98:1.00:1.81:1.36:1.45:1.50:2.71:1.13:1.09,3.1E4,3.29E4,1.00:1.06,4.55,,
,0.81,4.56,434.3048,2.04 - 3.44,1,1E5,434.3050,2.93,3.19E5,434.3047,2.95,8.49E4,434.3048,2.95,4.06E4,434.3048,2.96,3.84E4,434.3047,2.95,1.2E5,434.3048,2.96,4.92E4,434.3041,2.95,1.03E5,434.3052,2.95,1.38E5,434.3048,2.95,3.38E4,3.76:1.00:0.48:0.45:1.41:0.58:1.22:1.62:0.40,1.21E5,8.1E4,1.00:0.67,2.95,,
,0.81,5.09,738.4257,3.91 - 4.86,1,3.1E4,738.4261,4.55,1.26E4,738.4263,4.56,3.23E4,738.4253,4.54,1.93E4,738.4265,4.55,2.55E4,738.4249,4.55,3.02E4,738.4251,4.54,4.81E4,738.4258,4.56,4.82E4,738.4257,4.56,2.22E4,738.4261,4.55,4.04E4,0.39:1.00:0.60:0.79:0.93:1.49:1.49:0.69:1.25,2.4E4,3.97E4,1.00:1.66,4.55,,
,0.81,4.87,447.9728,0.29 - 1.78,1,2.2E5,447.9734,0.51,3.89E4,447.9732,0.52,1.19E4,447.9727,0.52,2.62E5,447.9730,0.53,3.22E5,447.9725,0.50,2.4E5,447.9725,0.56,6.83E5,447.9722,0.51,1.59E4,447.9733,0.52,3E4,447.9729,0.50,3.81E5,3.27:1.00:22.01:27.10:20.17:57.41:1.33:2.52:32.05,1.75E5,2.77E5,1.00:1.59,0.52,,
,0.81,3.37,374.1326,2.79 - 3.98,1,6.7E4,374.1330,3.68,8.01E4,374.1331,3.68,4.92E4,374.1321,3.66,7.04E4,374.1323,3.68,4.51E4,374.1329,3.67,7.56E4,374.1330,3.67,7.39E4,374.1320,3.67,1.13E5,374.1323,3.67,5.18E4,374.1323,3.70,4.59E4,1.63:1.00:1.43:0.92:1.54:1.50:2.29:1.05:0.93,6.41E4,7.1E4,1.00:1.11,3.68,,
,0.80,3.29,304.9106,1.52 - 4.85,1,2.3E4,304.9106,1.80,1.89E4,304.9107,1.81,2.24E4,304.9106,1.80,1.47E4,304.9107,1.81,3.13E4,304.9106,1.78,2.18E4,304.9106,1.82,2.28E4,304.9106,1.84,3.06E4,304.9107,1.83,2.07E4,304.9107,1.80,2.06E4,0.84:1.00:0.66:1.40:0.97:1.02:1.36:0.93:0.92,2.18E4,2.37E4,1.00:1.08,1.81,,
,0.80,3.53,384.1615,2.61 - 4.08,1,4E4,384.1619,3.68,5.81E4,384.1620,3.67,3.27E4,384.1611,3.69,4.27E4,384.1613,3.68,3.39E4,384.1613,3.65,4.72E4,384.1619,3.67,2.82E4,384.1610,3.67,5.8E4,384.1613,3.67,2.53E4,384.1620,3.68,3.71E4,1.77:1.00:1.30:1.04:1.44:0.86:1.77:0.77:1.13,4.29E4,3.72E4,1.00:0.87,3.67,,
,0.80,4.54,362.0099,0.34 - 2.13,1,1.3E5,362.0097,1.89,6.09E4,362.0099,1.91,2.48E5,362.0099,1.90,1.23E5,362.0100,1.90,3.38E4,362.0099,1.90,2.72E5,362.0102,1.91,4.91E4,362.0091,1.92,2.13E5,362.0101,1.91,2.9E4,362.0100,1.92,1.13E5,0.25:1.00:0.50:0.14:1.10:0.20:0.86:0.12:0.45,1.48E5,1.01E5,1.00:0.68,1.91,,
,0.80,3.50,275.2021,1.49 - 2.69,1,2.3E4,275.2021,2.58,3.54E4,275.2021,2.59,1.76E4,275.2021,2.58,1.95E4,275.2021,2.58,1.87E4,275.2021,2.58,1.54E4,275.2022,2.58,2.25E4,275.2021,2.59,3.25E4,275.2021,2.58,2.09E4,275.2021,2.59,2.3E4,2.02:1.00:1.11:1.06:0.88:1.28:1.85:1.19:1.31,2.13E4,2.47E4,1.00:1.16,2.58,,
,0.80,3.26,400.1567,2.86 - 3.90,1,2.3E4,400.1569,3.68,2.9E4,400.1569,3.68,1.67E4,400.1566,3.69,2.36E4,400.1567,3.68,1.73E4,400.1566,3.67,3.12E4,400.1564,3.67,2.02E4,400.1568,3.67,3.28E4,400.1567,3.67,1.74E4,400.1570,3.70,1.69E4,1.74:1.00:1.41:1.04:1.87:1.21:1.97:1.05:1.01,2.36E4,2.18E4,1.00:0.93,3.68,,
,0.80,6.42,285.1343,0.10 - 0.68,1,3.3E6,285.1345,0.16,6.04E5,-,-,0,285.1342,0.16,6.27E6,285.1342,0.16,4.02E6,-,-,0,285.1345,0.51,8.58E6,285.1342,0.15,3.62E5,285.1341,0.15,9.12E5,285.1340,0.16,9.09E6,1.00:0:10.38:6.66:0:14.21:0.60:1.51:15.05,2.18E6,4.74E6,1.00:2.17,0.21,,
,0.79,3.96,1054.7844,18.76 - 20.24,1,2.4E4,1054.7869,20.13,3.18E4,1054.7844,20.15,2.12E4,1054.7830,20.15,2.03E4,1054.7830,20.15,3.14E4,1054.7837,20.14,2.98E4,1054.7866,20.15,2.32E4,1054.7842,20.14,2.1E4,1054.7833,20.14,1.54E4,1054.7844,20.14,2.35E4,1.50:1.00:0.96:1.49:1.41:1.10:0.99:0.73:1.11,2.69E4,2.08E4,1.00:0.77,20.14,,
,0.79,4.35,361.1035,0.10 - 0.47,1,4.1E5,361.1036,0.16,1.76E5,-,-,0,361.1034,0.16,6.62E5,361.1034,0.16,9.68E5,361.1041,0.16,5.77E5,361.1035,0.39,1.08E5,-,-,0,361.1034,0.15,8.93E4,361.1032,0.16,1.14E6,1.00:0:3.75:5.49:3.27:0.61:0:0.51:6.47,4.77E5,3.35E5,1.00:0.70,0.19,,
,0.79,4.24,393.2787,3.05 - 3.94,1,4.3E4,393.2789,3.85,3.13E4,393.2790,3.86,1.9E4,393.2784,3.85,6.12E4,393.2789,3.86,7.01E3,393.2779,3.85,6.31E4,393.2789,3.87,2.91E4,393.2789,3.86,2.44E4,393.2789,3.86,7.06E4,393.2788,3.86,7.75E4,1.65:1.00:3.23:0.37:3.32:1.53:1.28:3.72:4.08,3.63E4,5.04E4,1.00:1.39,3.86,,
,0.78,3.18,671.2688,2.37 - 3.67,1,5.4E4,671.2684,2.97,7.24E4,671.2687,2.99,3.86E4,671.2688,2.99,4.67E4,671.2690,2.99,4.97E4,671.2689,2.98,5.82E4,671.2689,2.99,6.39E4,671.2686,2.99,5.7E4,671.2690,3.00,5.13E4,671.2687,2.99,5.11E4,1.87:1.00:1.21:1.29:1.51:1.66:1.48:1.33:1.32,5.31E4,5.58E4,1.00:1.05,2.99,,
,0.78,4.68,457.2987,3.05 - 3.95,1,3.3E4,457.2989,3.85,2.27E4,457.2991,3.86,1.62E4,457.2984,3.85,4.1E4,457.2990,3.85,6.61E3,457.2985,3.85,4.67E4,457.2986,3.85,2.44E4,457.2987,3.86,1.85E4,457.2985,3.86,5.45E4,457.2983,3.86,6.34E4,1.40:1.00:2.54:0.41:2.89:1.51:1.15:3.37:3.92,2.66E4,4.02E4,1.00:1.51,3.85,,
,0.78,4.68,364.0067,0.36 - 2.04,1,3.5E4,364.0067,1.89,1.56E4,364.0066,1.90,7.15E4,364.0066,1.90,3.34E4,364.0068,1.90,7.12E3,364.0066,1.90,7.94E4,364.0067,1.91,1.4E4,364.0066,1.92,6.09E4,364.0068,1.91,5.4E3,364.0067,1.92,3.1E4,0.22:1.00:0.47:0.10:1.11:0.20:0.85:0.08:0.43,4.14E4,2.78E4,1.00:0.67,1.91,,
,0.77,4.10,404.1602,3.83 - 4.73,1,2E4,404.1602,4.54,1.96E4,404.1604,4.55,1.1E4,404.1601,4.54,2.55E4,404.1605,4.55,1.22E4,404.1603,4.55,1.81E4,404.1601,4.54,2.71E4,404.1599,4.56,4.01E4,404.1605,4.56,1.22E4,404.1603,4.55,1.14E4,1.77:1.00:2.31:1.11:1.64:2.46:3.63:1.11:1.03,1.73E4,2.27E4,1.00:1.31,4.55,,
,0.77,4.18,297.1707,0.10 - 0.70,1,3.2E5,297.1705,0.21,2.9E5,297.1707,0.26,6.85E5,297.1706,0.14,2.32E5,297.1703,0.25,1.22E5,297.1707,0.16,4.25E5,297.1712,0.35,7.07E4,297.1708,0.19,4.21E5,-,-,-,297.1706,0.21,2.96E5,0.42:1.00:0.34:0.18:0.62:0.10:0.61:-:0.43,3.51E5,2.62E5,1.00:0.75,0.22,,
,0.77,3.65,454.1356,1.73 - 3.24,1,2.7E4,454.1355,3.09,4.24E4,454.1356,3.10,2.35E4,454.1356,3.09,2.22E4,454.1356,3.10,1.37E4,454.1354,3.10,2.39E4,454.1358,3.10,1.13E4,454.1355,3.10,2.83E4,454.1356,3.10,3.63E4,454.1356,3.11,4.32E4,1.80:1.00:0.94:0.58:1.02:0.48:1.20:1.54:1.83,2.52E4,2.98E4,1.00:1.18,3.10,,
,0.77,3.36,281.2490,2.95 - 4.74,1,2.1E4,281.2488,3.79,5.36E4,281.2490,3.80,1.16E4,281.2490,3.81,1.54E4,281.2490,3.81,1.29E4,281.2490,3.80,1.83E4,281.2491,3.80,2.25E4,281.2489,3.71,2.96E4,281.2489,3.82,1.47E4,281.2491,3.80,1.42E4,4.61:1.00:1.33:1.11:1.58:1.94:2.55:1.27:1.22,2.24E4,2.03E4,1.00:0.91,3.79,,
,0.77,3.15,889.8299,20.06 - 20.23,2,1.1E4,889.8300,20.16,1.17E4,889.8296,20.17,9.01E3,889.8302,20.16,8.25E3,889.8304,20.15,1.27E4,889.8297,20.16,1.36E4,889.8291,20.17,1.21E4,889.8301,20.16,9.51E3,889.8301,20.17,8.89E3,889.8301,20.17,1.18E4,1.30:1.00:0.92:1.40:1.50:1.34:1.06:0.99:1.31,1.1E4,1.06E4,1.00:0.96,20.16,,
,0.77,3.76,309.1707,0.10 - 0.65,1,1.3E6,309.1705,0.16,1.57E6,309.1711,0.15,2.14E6,309.1713,0.14,1E6,309.1705,0.16,6.53E5,309.1711,0.16,1.86E6,309.1702,0.47,8.29E5,-,-,-,309.1704,0.15,1.8E6,309.1709,0.16,9.26E5,0.74:1.00:0.47:0.31:0.87:0.39:-:0.84:0.43,1.45E6,1.19E6,1.00:0.82,0.19,,
,0.77,3.24,523.7937,20.25 - 20.36,1,1.6E4,523.7938,20.29,1.19E4,523.7938,20.27,5.78E3,523.7936,20.29,2.06E4,523.7936,20.28,1.4E4,523.7937,20.28,2.31E4,523.7939,20.30,1.48E4,523.7938,20.30,1.7E4,523.7938,20.28,1.69E4,523.7935,20.28,1.57E4,2.06:1.00:3.56:2.43:4.00:2.56:2.95:2.92:2.72,1.51E4,1.61E4,1.00:1.07,20.29,,
,0.76,4.53,499.3650,2.59 - 4.25,1,1.7E4,499.3650,3.77,1.18E4,499.3651,3.77,1.79E4,499.3649,3.75,1.28E4,499.3653,3.76,1.11E4,499.3649,3.76,1.55E4,499.3651,3.75,2.17E4,499.3650,3.76,2.51E4,499.3650,3.77,2.12E4,499.3649,3.77,1.21E4,0.66:1.00:0.72:0.62:0.87:1.21:1.40:1.18:0.68,1.38E4,2E4,1.00:1.45,3.76,,
,0.76,3.34,698.2878,2.33 - 3.70,1,5.3E4,698.2880,3.00,7.36E4,698.2881,2.96,4.06E4,698.2875,2.99,4E4,698.2877,2.99,4.76E4,698.2880,2.98,5.45E4,698.2876,2.99,7.11E4,698.2876,2.99,5.33E4,698.2880,2.98,4.24E4,698.2878,3.00,5.74E4,1.81:1.00:0.99:1.17:1.34:1.75:1.31:1.05:1.42,5.12E4,5.61E4,1.00:1.09,2.99,,
,0.76,3.48,376.1295,2.81 - 3.86,1,1.8E4,376.1295,3.68,2.09E4,376.1295,3.69,1.19E4,376.1294,3.69,1.81E4,376.1295,3.68,1.15E4,376.1293,3.67,2.03E4,376.1293,3.67,2.21E4,376.1292,3.67,3E4,376.1297,3.70,1.24E4,376.1297,3.70,1.03E4,1.75:1.00:1.52:0.96:1.71:1.86:2.52:1.04:0.87,1.65E4,1.87E4,1.00:1.13,3.68,,
,0.76,3.52,462.0414,0.47 - 2.64,1,4.2E4,462.0413,2.15,2.2E4,462.0414,2.15,5.13E4,462.0409,2.15,5.2E4,462.0414,2.15,4.66E4,462.0414,2.15,4.91E4,462.0415,2.15,4.23E4,462.0414,2.15,5.47E4,462.0415,2.15,1.87E4,462.0415,2.15,3.9E4,0.43:1.00:1.01:0.91:0.96:0.82:1.07:0.37:0.76,4.42E4,3.87E4,1.00:0.88,2.15,,
,0.76,12.89,702.5104,8.08 - 8.84,1,8.4E4,-,-,0,702.5105,8.52,5.7E4,702.5105,8.49,4.6E4,702.5105,8.51,3.23E4,702.5110,8.48,2.29E4,702.5104,8.52,3.09E5,702.5101,8.52,1.2E5,702.5099,8.54,9.9E4,702.5103,8.52,7E4,0:1.00:0.81:0.57:0.40:5.43:2.11:1.74:1.23,3.16E4,1.5E5,1.00:4.73,8.51,,
,0.76,3.30,894.8435,20.09 - 20.24,2,8E3,894.8440,20.18,8.62E3,894.8435,20.17,7.52E3,894.8430,20.16,7.33E3,894.8431,20.17,8.57E3,894.8436,20.19,9.16E3,894.8433,20.18,8.61E3,894.8430,20.19,6.83E3,894.8447,20.17,6.49E3,894.8434,20.19,8.61E3,1.15:1.00:0.97:1.14:1.22:1.14:0.91:0.86:1.14,8.24E3,7.63E3,1.00:0.93,20.18,,
,0.76,5.78,678.5057,0.10 - 0.21,1,3E5,-,-,0,678.5062,0.15,5.18E5,678.5047,0.16,1.01E6,678.5053,0.16,2.16E5,678.5068,0.16,1.52E5,-,-,0,678.5062,0.15,4.3E5,678.5046,0.15,4.14E5,-,-,0,0:1.00:1.95:0.42:0.29:0:0.83:0.80:0,3.8E5,2.11E5,1.00:0.56,0.16,,
,0.76,4.30,581.5282,9.18 - 9.99,1,6.5E4,581.5284,9.59,1.16E5,581.5285,9.62,4.72E4,581.5286,9.62,7.8E4,581.5278,9.62,1.76E4,581.5284,9.62,1.12E5,581.5281,9.64,3.25E4,581.5278,9.63,5.75E4,581.5280,9.65,7.04E4,581.5280,9.64,5.8E4,2.46:1.00:1.65:0.37:2.37:0.69:1.22:1.49:1.23,7.42E4,5.46E4,1.00:0.74,9.63,,
,0.76,5.79,484.1636,3.04 - 3.96,1,3.2E4,484.1637,3.85,1.69E4,484.1638,3.86,1.71E4,484.1631,3.85,4.58E4,484.1642,3.86,4.86E3,484.1630,3.86,3.27E4,484.1639,3.87,1.94E4,484.1636,3.87,1.64E4,484.1638,3.86,5.37E4,484.1638,3.86,7.86E4,0.99:1.00:2.68:0.28:1.92:1.13:0.96:3.14:4.60,2.35E4,4.2E4,1.00:1.79,3.86,,
,0.75,3.06,826.8558,20.07 - 20.24,2,1.1E4,826.8557,20.18,1.09E4,826.8546,20.17,1.01E4,826.8556,20.16,9.44E3,826.8560,20.17,1.23E4,826.8553,20.19,1.34E4,826.8552,20.17,1.36E4,826.8566,20.19,9.05E3,826.8572,20.17,9.9E3,826.8558,20.19,1.17E4,1.08:1.00:0.94:1.22:1.32:1.35:0.90:0.98:1.16,1.12E4,1.11E4,1.00:0.99,20.18,,
,0.75,3.33,931.8111,20.08 - 20.25,2,1E4,931.8105,20.18,1.03E4,931.8108,20.17,8.42E3,931.8111,20.18,8.29E3,931.8104,20.17,1.29E4,931.8108,20.16,1.17E4,931.8107,20.17,1.11E4,931.8125,20.19,8.01E3,931.8116,20.18,9.26E3,931.8114,20.19,9.58E3,1.22:1.00:0.98:1.53:1.39:1.32:0.95:1.10:1.14,1.03E4,9.49E3,1.00:0.92,20.17,,
,0.75,4.38,266.8047,18.08 - 19.63,3,1.9E4,266.8045,18.44,1.48E4,266.8046,18.38,1.89E4,266.8043,18.46,1.29E4,266.8049,18.40,1.86E4,266.8047,18.45,1.73E4,266.8048,18.43,1.97E4,266.8049,18.39,1.87E4,266.8046,18.53,2.41E4,266.8047,18.49,2.85E4,0.78:1.00:0.69:0.99:0.92:1.04:0.99:1.28:1.51,1.65E4,2.28E4,1.00:1.38,18.44,,
,0.75,6.05,518.1433,3.01 - 3.96,1,6.5E4,518.1434,3.85,2.99E4,518.1434,3.86,3.79E4,518.1432,3.85,1.01E5,518.1434,3.86,5.01E3,518.1433,3.86,5.8E4,518.1434,3.87,4E4,518.1433,3.87,3.45E4,518.1433,3.86,1.15E5,518.1432,3.86,1.59E5,0.79:1.00:2.67:0.13:1.53:1.05:0.91:3.04:4.19,4.64E4,8.72E4,1.00:1.88,3.86,,
,0.75,4.65,367.2649,3.19 - 3.90,1,6.3E3,367.2648,3.43,5.71E3,367.2650,3.45,5.11E3,367.2649,3.43,5.02E3,367.2651,3.43,4.48E3,367.2649,3.42,5.87E3,367.2651,3.40,1.25E4,367.2647,3.44,6.19E3,367.2650,3.43,5.72E3,367.2650,3.44,6.08E3,1.12:1.00:0.98:0.88:1.15:2.45:1.21:1.12:1.19,5.23E3,7.63E3,1.00:1.46,3.43,,
,0.75,4.15,527.4487,11.53 - 12.46,1,5.6E4,527.4486,11.84,5.21E4,527.4485,11.87,6.39E4,527.4487,11.89,5.71E4,527.4492,11.86,6.7E4,527.4492,11.87,7.36E4,527.4482,11.91,2.01E4,527.4485,11.88,8.53E4,527.4485,11.89,8.54E4,-,-,0,0.82:1.00:0.89:1.05:1.15:0.31:1.33:1.34:0,6.27E4,4.77E4,1.00:0.76,11.88,,
,0.75,7.82,579.3173,0.30 - 0.60,1,1.5E5,-,-,0,579.3171,0.52,8.99E3,579.3173,0.52,1.64E5,579.3170,0.53,1.09E5,579.3171,0.50,1.69E5,579.3172,0.51,6.81E5,-,-,0,-,-,0,579.3177,0.50,2.1E5,0:1.00:18.28:12.14:18.82:75.78:0:0:23.32,9.03E4,2.23E5,1.00:2.47,0.52,,
,0.75,3.32,795.8358,20.05 - 20.26,2,1.2E4,795.8354,20.16,1.44E4,795.8356,20.16,1.12E4,795.8355,20.18,1E4,795.8370,20.20,1.46E4,795.8356,20.19,1.29E4,795.8343,20.19,1.43E4,795.8368,20.20,8.29E3,795.8365,20.20,1.13E4,795.8359,20.19,1.25E4,1.29:1.00:0.90:1.30:1.16:1.29:0.74:1.01:1.13,1.26E4,1.16E4,1.00:0.92,20.18,,
,0.75,4.14,454.1350,3.81 - 5.15,1,5.4E4,454.1354,4.55,5.22E4,454.1355,4.57,4.38E4,454.1346,4.54,6.81E4,454.1354,4.55,3.55E4,454.1340,4.55,3.76E4,454.1346,4.54,5.4E4,454.1346,4.56,8.7E4,454.1348,4.56,4.7E4,454.1356,4.52,6.08E4,1.19:1.00:1.55:0.81:0.86:1.23:1.98:1.07:1.39,4.74E4,6.22E4,1.00:1.31,4.55,,
,0.74,3.22,415.2487,2.83 - 3.95,1,1.4E4,415.2484,3.68,1.88E4,415.2487,3.67,1.03E4,415.2486,3.69,1.37E4,415.2489,3.67,9.98E3,415.2484,3.67,1.6E4,415.2494,3.67,1.57E4,415.2486,3.67,2.24E4,415.2488,3.67,9.86E3,415.2487,3.70,1.02E4,1.83:1.00:1.33:0.97:1.55:1.52:2.17:0.96:0.99,1.38E4,1.45E4,1.00:1.06,3.68,,
,0.74,3.24,800.8490,20.10 - 20.24,2,7.7E3,800.8494,20.18,8.58E3,800.8487,20.19,5.23E3,800.8485,20.18,7.01E3,800.8486,20.17,9.43E3,800.8500,20.16,9.34E3,800.8491,20.18,9.82E3,800.8486,20.19,6.57E3,800.8489,20.17,5.28E3,800.8489,20.19,8.14E3,1.64:1.00:1.34:1.80:1.79:1.88:1.26:1.01:1.56,7.92E3,7.45E3,1.00:0.94,20.18,,
,0.74,13.56,742.5423,8.73 - 9.64,1,6.3E4,-,-,0,742.5421,9.09,4.24E4,742.5420,9.11,3.33E4,742.5427,9.11,2.41E4,742.5428,9.10,1.73E4,742.5417,9.13,2.3E5,742.5422,9.12,9.33E4,742.5424,9.13,7.63E4,742.5427,9.14,5.34E4,0:1.00:0.79:0.57:0.41:5.43:2.20:1.80:1.26,2.34E4,1.13E5,1.00:4.84,9.12,,
,0.74,3.27,331.1493,0.10 - 0.60,1,3.9E5,331.1494,0.14,2.94E5,-,-,-,331.1496,0.14,8.07E5,331.1492,0.16,1.66E5,331.1497,0.16,3.4E5,331.1487,0.51,1.3E5,331.1494,0.15,9.02E5,331.1491,0.15,1.37E5,331.1490,0.13,3.29E5,1.00:-:2.74:0.56:1.16:0.44:3.07:0.47:1.12,4.02E5,3.74E5,1.00:0.93,0.19,,
,0.74,3.36,863.8232,20.09 - 20.25,2,1.2E4,863.8231,20.18,1.22E4,863.8226,20.19,1.08E4,863.8234,20.18,8.84E3,863.8230,20.17,1.44E4,863.8225,20.16,1.4E4,863.8217,20.18,1.32E4,863.8231,20.19,8.77E3,863.8253,20.20,1.01E4,863.8246,20.19,1.18E4,1.13:1.00:0.82:1.34:1.30:1.23:0.82:0.94:1.10,1.2E4,1.1E4,1.00:0.91,20.18,,
,0.74,4.08,420.0691,2.28 - 7.47,1,1.5E5,420.0692,3.66,1.29E5,420.0692,3.69,1.25E5,420.0686,3.66,2E5,420.0693,3.68,1.22E5,420.0691,3.68,1.05E5,420.0690,3.67,1E5,420.0690,3.67,2.05E5,420.0693,3.67,1.8E5,420.0694,3.70,2.25E5,1.03:1.00:1.60:0.97:0.83:0.80:1.63:1.44:1.80,1.36E5,1.78E5,1.00:1.30,3.68,,
,0.73,4.19,518.1054,1.98 - 3.21,1,1E4,518.1056,3.09,1.4E4,518.1056,3.10,9.31E3,518.1052,3.10,7.85E3,518.1052,3.10,4.31E3,518.1052,3.10,9.33E3,518.1055,3.10,6.19E3,518.1055,3.10,1.03E4,518.1052,3.10,1.47E4,518.1058,3.11,1.65E4,1.50:1.00:0.84:0.46:1.00:0.66:1.11:1.57:1.77,8.95E3,1.19E4,1.00:1.33,3.10,,
,0.73,4.12,834.8437,18.83 - 20.24,2,1.4E4,834.8438,20.18,1.72E4,834.8444,20.19,1.21E4,834.8435,20.16,1.07E4,834.8439,20.17,1.99E4,834.8430,20.19,1.94E4,834.8434,20.18,1.56E4,834.8441,20.19,1.03E4,834.8440,20.17,9.25E3,834.8433,20.19,1.32E4,1.42:1.00:0.89:1.64:1.60:1.28:0.85:0.76:1.09,1.59E4,1.21E4,1.00:0.76,20.18,,
,0.73,4.33,571.4996,9.18 - 9.98,1,4.5E4,571.4998,9.59,7.74E4,571.4997,9.62,3.12E4,571.4996,9.62,5.32E4,571.4995,9.62,1.28E4,571.4997,9.62,7.85E4,571.4998,9.64,2.33E4,571.4996,9.64,3.96E4,571.4991,9.65,4.69E4,571.4999,9.63,3.77E4,2.48:1.00:1.70:0.41:2.51:0.74:1.27:1.50:1.21,5.06E4,3.69E4,1.00:0.73,9.63,,
,0.73,3.37,299.2022,1.19 - 2.25,1,1.1E4,299.2022,2.14,3.42E3,299.2023,2.15,1.18E4,299.2022,2.12,1.22E4,299.2022,2.15,1.28E4,299.2022,2.14,1.24E4,299.2023,2.15,1.28E4,299.2022,2.15,1.41E4,299.2023,2.15,1.02E4,299.2023,2.15,9.2E3,0.29:1.00:1.04:1.09:1.06:1.09:1.20:0.86:0.78,1.05E4,1.16E4,1.00:1.10,2.15,,
,0.73,3.71,564.3458,3.86 - 5.31,1,3.9E4,564.3456,5.15,5.26E4,564.3463,5.16,1.8E4,564.3457,5.16,2.79E4,564.3456,5.16,4.42E4,564.3463,5.15,7.01E4,564.3457,5.17,2.47E4,564.3458,5.16,3.91E4,564.3457,5.16,4.37E4,564.3458,5.16,3.51E4,2.93:1.00:1.55:2.46:3.91:1.37:2.18:2.43:1.95,4.26E4,3.56E4,1.00:0.84,5.16,,
